timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1688347458822,341,/static,200,OK,Static 1-22,text,true,,1779,322,40,40,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,UTF-8,1,0,DESKTOP-JMD9GU4,0,23
1688347458822,45,/static-0,301,Moved Permanently,Static 1-22,text,true,,606,161,40,40,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,23
1688347458868,295,/static-1,200,OK,Static 1-22,text,true,,1173,161,40,40,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,295,UTF-8,1,0,DESKTOP-JMD9GU4,0,55
1688347458431,750,/static,200,OK,Static 1-1,text,true,,1779,322,41,41,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,UTF-8,1,0,DESKTOP-JMD9GU4,0,23
1688347458431,46,/static-0,301,Moved Permanently,Static 1-1,text,true,,606,161,41,41,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,23
1688347458478,703,/static-1,200,OK,Static 1-1,text,true,,1173,161,41,41,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,703,UTF-8,1,0,DESKTOP-JMD9GU4,0,62
1688347458450,738,/static,200,OK,Static 1-2,text,true,,1779,322,41,41,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,UTF-8,1,0,DESKTOP-JMD9GU4,0,21
1688347458450,42,/static-0,301,Moved Permanently,Static 1-2,text,true,,606,161,41,41,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,21
1688347458493,695,/static-1,200,OK,Static 1-2,text,true,,1173,161,41,41,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,695,UTF-8,1,0,DESKTOP-JMD9GU4,0,60
1688347458470,734,/static,200,OK,Static 1-3,text,true,,1779,322,42,42,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,UTF-8,1,0,DESKTOP-JMD9GU4,0,23
1688347458470,46,/static-0,301,Moved Permanently,Static 1-3,text,true,,606,161,42,42,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,23
1688347458516,688,/static-1,200,OK,Static 1-3,text,true,,1173,161,42,42,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,688,UTF-8,1,0,DESKTOP-JMD9GU4,0,57
1688347458488,738,/static,200,OK,Static 1-4,text,true,,1779,322,43,43,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,43,UTF-8,1,0,DESKTOP-JMD9GU4,0,22
1688347458488,43,/static-0,301,Moved Permanently,Static 1-4,text,true,,606,161,43,43,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,43,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,22
1688347458531,695,/static-1,200,OK,Static 1-4,text,true,,1173,161,43,43,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,695,UTF-8,1,0,DESKTOP-JMD9GU4,0,57
1688347458506,731,/static,200,OK,Static 1-5,text,true,,1779,322,44,44,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,UTF-8,1,0,DESKTOP-JMD9GU4,0,21
1688347458506,42,/static-0,301,Moved Permanently,Static 1-5,text,true,,606,161,44,44,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,21
1688347458549,688,/static-1,200,OK,Static 1-5,text,true,,1173,161,44,44,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,688,UTF-8,1,0,DESKTOP-JMD9GU4,0,53
1688347458525,739,/static,200,OK,Static 1-6,text,true,,1779,322,46,46,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,UTF-8,1,0,DESKTOP-JMD9GU4,0,23
1688347458525,46,/static-0,301,Moved Permanently,Static 1-6,text,true,,606,161,46,46,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,23
1688347458572,692,/static-1,200,OK,Static 1-6,text,true,,1173,161,46,46,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,692,UTF-8,1,0,DESKTOP-JMD9GU4,0,53
1688347458543,732,/static,200,OK,Static 1-7,text,true,,1779,322,46,46,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,43,UTF-8,1,0,DESKTOP-JMD9GU4,0,21
1688347458543,43,/static-0,301,Moved Permanently,Static 1-7,text,true,,606,161,46,46,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,43,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,21
1688347458586,689,/static-1,200,OK,Static 1-7,text,true,,1173,161,46,46,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,689,UTF-8,1,0,DESKTOP-JMD9GU4,0,55
1688347458561,736,/static,200,OK,Static 1-8,text,true,,1779,322,47,47,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,UTF-8,1,0,DESKTOP-JMD9GU4,0,22
1688347458561,45,/static-0,301,Moved Permanently,Static 1-8,text,true,,606,161,47,47,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,22
1688347458607,690,/static-1,200,OK,Static 1-8,text,true,,1173,161,47,47,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,690,UTF-8,1,0,DESKTOP-JMD9GU4,0,57
1688347458579,732,/static,200,OK,Static 1-9,text,true,,1779,322,48,48,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,UTF-8,1,0,DESKTOP-JMD9GU4,0,22
1688347458579,45,/static-0,301,Moved Permanently,Static 1-9,text,true,,606,161,48,48,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,22
1688347458624,687,/static-1,200,OK,Static 1-9,text,true,,1173,161,48,48,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,687,UTF-8,1,0,DESKTOP-JMD9GU4,0,53
1688347458598,736,/static,200,OK,Static 1-10,text,true,,1779,322,49,49,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,UTF-8,1,0,DESKTOP-JMD9GU4,0,23
1688347458598,46,/static-0,301,Moved Permanently,Static 1-10,text,true,,606,161,49,49,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,23
1688347458644,690,/static-1,200,OK,Static 1-10,text,true,,1173,161,49,49,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,690,UTF-8,1,0,DESKTOP-JMD9GU4,0,52
1688347458617,735,/static,200,OK,Static 1-11,text,true,,1779,322,50,50,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,UTF-8,1,0,DESKTOP-JMD9GU4,0,21
1688347458617,42,/static-0,301,Moved Permanently,Static 1-11,text,true,,606,161,50,50,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,21
1688347458660,692,/static-1,200,OK,Static 1-11,text,true,,1173,161,50,50,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,692,UTF-8,1,0,DESKTOP-JMD9GU4,0,56
1688347458635,738,/static,200,OK,Static 1-12,text,true,,1779,322,51,51,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,UTF-8,1,0,DESKTOP-JMD9GU4,0,23
1688347458635,46,/static-0,301,Moved Permanently,Static 1-12,text,true,,606,161,51,51,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,23
1688347458681,692,/static-1,200,OK,Static 1-12,text,true,,1173,161,51,51,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,692,UTF-8,1,0,DESKTOP-JMD9GU4,0,58
1688347458653,742,/static,200,OK,Static 1-13,text,true,,1779,322,53,53,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,UTF-8,1,0,DESKTOP-JMD9GU4,0,24
1688347458653,46,/static-0,301,Moved Permanently,Static 1-13,text,true,,606,161,53,53,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,24
1688347458700,695,/static-1,200,OK,Static 1-13,text,true,,1173,161,53,53,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,695,UTF-8,1,0,DESKTOP-JMD9GU4,0,57
1688347458672,734,/static,200,OK,Static 1-14,text,true,,1779,322,53,53,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,UTF-8,1,0,DESKTOP-JMD9GU4,0,21
1688347458672,42,/static-0,301,Moved Permanently,Static 1-14,text,true,,606,161,53,53,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,21
1688347458715,691,/static-1,200,OK,Static 1-14,text,true,,1173,161,53,53,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,691,UTF-8,1,0,DESKTOP-JMD9GU4,0,56
1688347458690,743,/static,200,OK,Static 1-15,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,UTF-8,1,0,DESKTOP-JMD9GU4,0,23
1688347458690,46,/static-0,301,Moved Permanently,Static 1-15,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,23
1688347458736,697,/static-1,200,OK,Static 1-15,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,697,UTF-8,1,0,DESKTOP-JMD9GU4,0,56
1688347458710,738,/static,200,OK,Static 1-16,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,UTF-8,1,0,DESKTOP-JMD9GU4,0,22
1688347458710,45,/static-0,301,Moved Permanently,Static 1-16,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,22
1688347458755,693,/static-1,200,OK,Static 1-16,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,693,UTF-8,1,0,DESKTOP-JMD9GU4,0,52
1688347458729,734,/static,200,OK,Static 1-17,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,43,UTF-8,1,0,DESKTOP-JMD9GU4,0,22
1688347458729,43,/static-0,301,Moved Permanently,Static 1-17,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,43,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,22
1688347458772,691,/static-1,200,OK,Static 1-17,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,691,UTF-8,1,0,DESKTOP-JMD9GU4,0,56
1688347458747,742,/static,200,OK,Static 1-18,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,UTF-8,1,0,DESKTOP-JMD9GU4,0,23
1688347458747,46,/static-0,301,Moved Permanently,Static 1-18,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,23
1688347458794,695,/static-1,200,OK,Static 1-18,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,695,UTF-8,1,0,DESKTOP-JMD9GU4,0,56
1688347459153,340,/static,200,OK,Static 1-40,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,44,UTF-8,1,0,DESKTOP-JMD9GU4,0,22
1688347459153,44,/static-0,301,Moved Permanently,Static 1-40,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,44,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,22
1688347459198,295,/static-1,200,OK,Static 1-40,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,295,UTF-8,1,0,DESKTOP-JMD9GU4,0,56
1688347458766,740,/static,200,OK,Static 1-19,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,UTF-8,1,0,DESKTOP-JMD9GU4,0,22
1688347458766,45,/static-0,301,Moved Permanently,Static 1-19,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,22
1688347458812,694,/static-1,200,OK,Static 1-19,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,694,UTF-8,1,0,DESKTOP-JMD9GU4,0,52
1688347458784,737,/static,200,OK,Static 1-20,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,UTF-8,1,0,DESKTOP-JMD9GU4,0,23
1688347458784,45,/static-0,301,Moved Permanently,Static 1-20,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,23
1688347458830,691,/static-1,200,OK,Static 1-20,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,691,UTF-8,1,0,DESKTOP-JMD9GU4,0,55
1688347458803,739,/static,200,OK,Static 1-21,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,44,UTF-8,1,0,DESKTOP-JMD9GU4,0,22
1688347458803,44,/static-0,301,Moved Permanently,Static 1-21,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,44,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,22
1688347458847,695,/static-1,200,OK,Static 1-21,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,695,UTF-8,1,0,DESKTOP-JMD9GU4,0,56
1688347458841,739,/static,200,OK,Static 1-23,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,UTF-8,1,0,DESKTOP-JMD9GU4,0,21
1688347458841,42,/static-0,301,Moved Permanently,Static 1-23,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,21
1688347458884,696,/static-1,200,OK,Static 1-23,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,696,UTF-8,1,0,DESKTOP-JMD9GU4,0,57
1688347458859,736,/static,200,OK,Static 1-24,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,43,UTF-8,1,0,DESKTOP-JMD9GU4,0,22
1688347458859,43,/static-0,301,Moved Permanently,Static 1-24,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,43,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,22
1688347458903,692,/static-1,200,OK,Static 1-24,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,692,UTF-8,1,0,DESKTOP-JMD9GU4,0,55
1688347458877,735,/static,200,OK,Static 1-25,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,UTF-8,1,0,DESKTOP-JMD9GU4,0,23
1688347458877,46,/static-0,301,Moved Permanently,Static 1-25,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,23
1688347458924,688,/static-1,200,OK,Static 1-25,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,688,UTF-8,1,0,DESKTOP-JMD9GU4,0,56
1688347458895,728,/static,200,OK,Static 1-26,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,UTF-8,1,0,DESKTOP-JMD9GU4,0,23
1688347458895,46,/static-0,301,Moved Permanently,Static 1-26,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,23
1688347458941,682,/static-1,200,OK,Static 1-26,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,682,UTF-8,1,0,DESKTOP-JMD9GU4,0,52
1688347458914,734,/static,200,OK,Static 1-27,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,UTF-8,1,0,DESKTOP-JMD9GU4,0,22
1688347458914,42,/static-0,301,Moved Permanently,Static 1-27,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,22
1688347458957,691,/static-1,200,OK,Static 1-27,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,691,UTF-8,1,0,DESKTOP-JMD9GU4,0,53
1688347458933,726,/static,200,OK,Static 1-28,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,UTF-8,1,0,DESKTOP-JMD9GU4,0,21
1688347458933,42,/static-0,301,Moved Permanently,Static 1-28,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,21
1688347458975,684,/static-1,200,OK,Static 1-28,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,684,UTF-8,1,0,DESKTOP-JMD9GU4,0,52
1688347458951,739,/static,200,OK,Static 1-29,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,UTF-8,1,0,DESKTOP-JMD9GU4,0,22
1688347458951,45,/static-0,301,Moved Permanently,Static 1-29,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,22
1688347458996,694,/static-1,200,OK,Static 1-29,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,694,UTF-8,1,0,DESKTOP-JMD9GU4,0,55
1688347458969,736,/static,200,OK,Static 1-30,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,43,UTF-8,1,0,DESKTOP-JMD9GU4,0,22
1688347458969,43,/static-0,301,Moved Permanently,Static 1-30,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,43,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,22
1688347459013,692,/static-1,200,OK,Static 1-30,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,692,UTF-8,1,0,DESKTOP-JMD9GU4,0,55
1688347458988,733,/static,200,OK,Static 1-31,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,UTF-8,1,0,DESKTOP-JMD9GU4,0,23
1688347458988,46,/static-0,301,Moved Permanently,Static 1-31,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,23
1688347459034,687,/static-1,200,OK,Static 1-31,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,687,UTF-8,1,0,DESKTOP-JMD9GU4,0,53
1688347459007,735,/static,200,OK,Static 1-32,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,43,UTF-8,1,0,DESKTOP-JMD9GU4,0,21
1688347459007,43,/static-0,301,Moved Permanently,Static 1-32,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,43,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,21
1688347459050,692,/static-1,200,OK,Static 1-32,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,692,UTF-8,1,0,DESKTOP-JMD9GU4,0,56
1688347459025,735,/static,200,OK,Static 1-33,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,UTF-8,1,0,DESKTOP-JMD9GU4,0,21
1688347459025,42,/static-0,301,Moved Permanently,Static 1-33,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,21
1688347459068,692,/static-1,200,OK,Static 1-33,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,692,UTF-8,1,0,DESKTOP-JMD9GU4,0,55
1688347459043,729,/static,200,OK,Static 1-34,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,UTF-8,1,0,DESKTOP-JMD9GU4,0,21
1688347459043,42,/static-0,301,Moved Permanently,Static 1-34,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,21
1688347459086,686,/static-1,200,OK,Static 1-34,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,685,UTF-8,1,0,DESKTOP-JMD9GU4,0,56
1688347459061,728,/static,200,OK,Static 1-35,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,UTF-8,1,0,DESKTOP-JMD9GU4,0,21
1688347459061,42,/static-0,301,Moved Permanently,Static 1-35,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,21
1688347459104,685,/static-1,200,OK,Static 1-35,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,685,UTF-8,1,0,DESKTOP-JMD9GU4,0,51
1688347459079,731,/static,200,OK,Static 1-36,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,UTF-8,1,0,DESKTOP-JMD9GU4,0,21
1688347459079,42,/static-0,301,Moved Permanently,Static 1-36,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,42,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,21
1688347459122,688,/static-1,200,OK,Static 1-36,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,688,UTF-8,1,0,DESKTOP-JMD9GU4,0,57
1688347459097,729,/static,200,OK,Static 1-37,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,UTF-8,1,0,DESKTOP-JMD9GU4,0,22
1688347459097,45,/static-0,301,Moved Permanently,Static 1-37,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,22
1688347459142,684,/static-1,200,OK,Static 1-37,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,684,UTF-8,1,0,DESKTOP-JMD9GU4,0,51
1688347459116,735,/static,200,OK,Static 1-38,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,UTF-8,1,0,DESKTOP-JMD9GU4,0,23
1688347459116,46,/static-0,301,Moved Permanently,Static 1-38,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,23
1688347459162,689,/static-1,200,OK,Static 1-38,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,689,UTF-8,1,0,DESKTOP-JMD9GU4,0,56
1688347459134,723,/static,200,OK,Static 1-39,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,39,UTF-8,1,0,DESKTOP-JMD9GU4,0,20
1688347459134,39,/static-0,301,Moved Permanently,Static 1-39,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,39,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,20
1688347459174,683,/static-1,200,OK,Static 1-39,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,683,UTF-8,1,0,DESKTOP-JMD9GU4,0,51
1688347459171,742,/static,200,OK,Static 1-41,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,UTF-8,1,0,DESKTOP-JMD9GU4,0,23
1688347459171,47,/static-0,301,Moved Permanently,Static 1-41,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,46,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,23
1688347459218,695,/static-1,200,OK,Static 1-41,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,695,UTF-8,1,0,DESKTOP-JMD9GU4,0,55
1688347459191,734,/static,200,OK,Static 1-42,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,43,UTF-8,1,0,DESKTOP-JMD9GU4,0,21
1688347459191,43,/static-0,301,Moved Permanently,Static 1-42,text,true,,606,161,55,55,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,43,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,21
1688347459234,691,/static-1,200,OK,Static 1-42,text,true,,1173,161,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,691,UTF-8,1,0,DESKTOP-JMD9GU4,0,55
1688347459209,723,/static,200,OK,Static 1-43,text,true,,1779,322,55,55,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,45,UTF-8,1,0,DESKTOP-JMD9GU4,0,22
